DateTime,finalprice
2021-01-05,59.99
2021-02-11,29.99
2021-02-22,59.99
2021-03-25,29.99
2021-04-06,59.99
2021-05-27,29.99
2021-06-07,59.99
2021-06-24,29.99
2021-07-08,59.99
2021-07-12,29.99
2021-07-19,59.99
2021-08-30,29.99
2021-09-13,59.99
2021-09-30,29.99
2021-10-04,59.99
2021-10-18,29.99
2021-10-28,59.99
2021-10-28,29.99
2021-11-01,59.99
2021-11-24,29.99
2021-12-01,59.99
2021-12-02,29.99
2021-12-06,59.99
2021-12-08,29.99
2021-12-13,59.99
2021-12-22,29.99
2021-12-22,29.99
2022-01-05,59.99
2022-01-27,29.99
2022-02-03,59.99
2022-02-14,29.99
2022-02-28,59.99
2022-04-07,29.99
2022-04-21,59.99
2022-05-23,29.99
2022-05-24,0.0
2022-05-25,29.99
2022-06-06,59.99
2022-06-23,29.99
2022-07-07,59.99
2022-07-18,29.99
2022-08-01,59.99
2022-08-29,29.99
2022-09-05,59.99
2022-10-06,29.99
2022-10-20,59.99
2022-11-22,29.99
2022-12-13,59.99
2022-12-22,29.99
2023-01-05,59.99
2023-02-20,29.99
2023-03-06,59.99
2023-03-16,29.99
2023-03-23,59.99
2023-04-05,29.99
2023-04-19,59.99
2023-06-05,29.99
2023-06-19,59.99
2023-06-29,29.99
2023-07-13,59.99
2023-08-21,29.99
2023-09-04,59.99
2023-10-04,29.99
2023-10-18,59.99
2023-11-21,29.99
2023-11-28,59.99
2023-12-04,29.99
2023-12-18,59.99
2023-12-21,29.99
